epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1536.93,0.58044,0.3458,0.81966,0.9807,0.98122,0.98701,0.92961,0.31778,0.22486,0.80433,0.00819325,0.00819325,0.00819325
75,1555.64,0.57625,0.34432,0.81499,0.99961,0.96857,0.98925,0.93133,0.29393,0.21999,0.79259,0.0081685,0.0081685,0.0081685
76,1574.86,0.57015,0.33941,0.81569,0.98928,0.96341,0.98545,0.92382,0.31161,0.21591,0.79539,0.00814375,0.00814375,0.00814375
77,1595.17,0.56472,0.33608,0.81639,0.9951,0.96341,0.98575,0.93764,0.29576,0.20943,0.79413,0.008119,0.008119,0.008119
78,1614.23,0.55639,0.33221,0.813,0.99934,0.96893,0.9841,0.94065,0.28928,0.20692,0.79866,0.00809425,0.00809425,0.00809425
79,1633.76,0.55612,0.33174,0.81609,0.99793,0.97561,0.98159,0.93184,0.29608,0.21132,0.79698,0.0080695,0.0080695,0.0080695
80,1657.16,0.56112,0.3335,0.8164,0.99875,0.96341,0.98192,0.94047,0.28992,0.21383,0.79777,0.00804475,0.00804475,0.00804475
81,1680.06,0.54824,0.3275,0.81464,0.99905,0.97539,0.98666,0.9389,0.30337,0.2108,0.80186,0.00802,0.00802,0.00802
82,1702.11,0.56538,0.33431,0.81582,0.99231,0.98171,0.98787,0.94027,0.29391,0.20854,0.79839,0.00799525,0.00799525,0.00799525
83,1724.27,0.55161,0.32847,0.81065,0.98637,0.97561,0.98593,0.94767,0.28978,0.20593,0.79498,0.0079705,0.0079705,0.0079705
84,1745.79,0.56012,0.32955,0.81817,0.99937,0.96871,0.98526,0.94338,0.29058,0.20999,0.7959,0.00794575,0.00794575,0.00794575
85,1764.94,0.54843,0.32551,0.81607,0.9994,0.96928,0.98404,0.94359,0.28699,0.20315,0.80056,0.007921,0.007921,0.007921
86,1783.82,0.55627,0.3273,0.81312,0.9991,0.96341,0.98585,0.94458,0.29723,0.20922,0.80047,0.00789625,0.00789625,0.00789625
87,1803.85,0.56314,0.33024,0.81523,0.99935,0.96891,0.98349,0.94434,0.28687,0.20641,0.79776,0.0078715,0.0078715,0.0078715
88,1825.28,0.54939,0.32541,0.81546,0.99923,0.96892,0.98507,0.94755,0.28472,0.2071,0.7937,0.00784675,0.00784675,0.00784675
89,1844.96,0.55206,0.32677,0.81271,0.99918,0.96341,0.98813,0.94556,0.28325,0.19799,0.79641,0.007822,0.007822,0.007822
