epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,93.5391,0.90021,0.53832,0.83587,0.84019,0.81707,0.85942,0.55439,0.88025,0.52344,0.89912,0.00129293,0.00129293,0.00129293
70,94.6658,0.89751,0.55086,0.85131,0.87725,0.79336,0.84772,0.54861,0.86623,0.5231,0.89378,0.00128742,0.00128742,0.00128742
71,95.7749,0.87102,0.54092,0.83906,0.89789,0.80694,0.85066,0.54965,0.86555,0.52542,0.89253,0.00128192,0.00128192,0.00128192
72,96.9436,0.84424,0.5361,0.84561,0.93895,0.81228,0.86878,0.57228,0.81105,0.52521,0.88233,0.00127642,0.00127642,0.00127642
73,98.1093,0.87645,0.52461,0.83994,0.93077,0.82114,0.87584,0.57783,0.82498,0.51246,0.88714,0.00127092,0.00127092,0.00127092
74,99.2754,0.84789,0.51,0.84536,0.94212,0.79433,0.88287,0.56064,0.83204,0.51497,0.88752,0.00126542,0.00126542,0.00126542
75,100.402,0.84055,0.51989,0.8382,0.93785,0.86092,0.92193,0.56803,0.83334,0.52939,0.88862,0.00125992,0.00125992,0.00125992
76,101.549,0.88876,0.55011,0.83859,0.91122,0.85904,0.89707,0.56864,0.82934,0.56189,0.88468,0.00125442,0.00125442,0.00125442
77,102.661,0.88759,0.53661,0.84027,0.98002,0.8439,0.8939,0.58731,0.81152,0.53889,0.88366,0.00124892,0.00124892,0.00124892
78,103.826,0.86084,0.51372,0.84125,0.9709,0.8415,0.90068,0.58429,0.80075,0.49443,0.88094,0.00124342,0.00124342,0.00124342
79,104.969,0.87812,0.53368,0.83108,0.9584,0.82114,0.87124,0.57942,0.7878,0.50012,0.87849,0.00123791,0.00123791,0.00123791
80,106.119,0.89997,0.54317,0.82958,0.89399,0.7893,0.8457,0.56804,0.82568,0.54709,0.88531,0.00123241,0.00123241,0.00123241
81,107.283,0.86984,0.53421,0.83991,0.91987,0.7893,0.84801,0.58817,0.8116,0.52199,0.88362,0.00122691,0.00122691,0.00122691
82,108.45,0.82238,0.52096,0.83786,0.94919,0.7893,0.86616,0.55261,0.82894,0.48657,0.88276,0.00122141,0.00122141,0.00122141
83,109.588,0.89562,0.52793,0.83895,0.95704,0.7893,0.87398,0.55712,0.815,0.48879,0.88059,0.00121591,0.00121591,0.00121591
84,110.745,0.86752,0.50888,0.84829,0.97815,0.8173,0.86807,0.56867,0.81767,0.48833,0.88203,0.00121041,0.00121041,0.00121041
85,111.861,0.87969,0.51704,0.84591,0.95665,0.7893,0.86937,0.58228,0.8402,0.5066,0.88472,0.00120491,0.00120491,0.00120491
86,113.023,0.88117,0.51716,0.82593,0.87078,0.82648,0.86002,0.59257,0.81468,0.52138,0.88298,0.00119941,0.00119941,0.00119941
87,114.173,0.9142,0.53475,0.84106,0.99017,0.78811,0.86791,0.60884,0.80972,0.50763,0.88146,0.00119391,0.00119391,0.00119391
88,115.345,0.85116,0.51459,0.85739,0.91946,0.82927,0.89034,0.61795,0.7601,0.48562,0.87475,0.0011884,0.0011884,0.0011884
89,116.468,0.84587,0.4973,0.82484,0.95136,0.8355,0.89322,0.61621,0.75204,0.47527,0.87373,0.0011829,0.0011829,0.0011829
90,117.603,0.83063,0.48323,0.82753,0.94211,0.83366,0.91529,0.60785,0.80389,0.47422,0.88501,0.0011774,0.0011774,0.0011774
91,118.732,0.87969,0.50071,0.83502,0.94524,0.86865,0.92094,0.58878,0.83617,0.48557,0.88752,0.0011719,0.0011719,0.0011719
92,119.856,0.87621,0.4943,0.83005,0.95978,0.82927,0.91711,0.60598,0.79341,0.47859,0.88006,0.0011664,0.0011664,0.0011664
93,121.03,0.83786,0.49941,0.82432,0.94595,0.8728,0.92038,0.61191,0.79665,0.47066,0.8797,0.0011609,0.0011609,0.0011609
94,122.212,0.83965,0.49169,0.83202,0.9478,0.84483,0.89069,0.59581,0.7908,0.46887,0.87635,0.0011554,0.0011554,0.0011554
95,123.379,0.88803,0.51393,0.83388,0.94234,0.84464,0.88912,0.59013,0.80449,0.4711,0.8781,0.0011499,0.0011499,0.0011499
96,124.542,0.81526,0.48772,0.83026,0.89257,0.9126,0.92008,0.58798,0.81021,0.4672,0.87603,0.0011444,0.0011444,0.0011444
97,125.712,0.86809,0.49629,0.8355,0.93469,0.9126,0.92131,0.57419,0.82389,0.47144,0.87746,0.00113889,0.00113889,0.00113889
98,126.881,0.8165,0.48327,0.82546,0.97989,0.91458,0.93824,0.57459,0.75856,0.47023,0.87113,0.00113339,0.00113339,0.00113339
99,127.998,0.86862,0.49504,0.82815,0.94191,0.87396,0.88886,0.58171,0.77959,0.47469,0.87367,0.00112789,0.00112789,0.00112789
100,129.145,0.80766,0.48395,0.83578,0.98412,0.90233,0.91722,0.56663,0.85527,0.50445,0.88196,0.00112239,0.00112239,0.00112239
101,130.253,0.80952,0.48438,0.83289,0.98394,0.89807,0.91531,0.58693,0.8253,0.48446,0.87755,0.00111689,0.00111689,0.00111689
102,131.456,0.85722,0.49455,0.83368,0.94815,0.87263,0.92843,0.59379,0.73023,0.45353,0.86372,0.00111139,0.00111139,0.00111139
103,132.59,0.84416,0.48482,0.83416,0.93549,0.88039,0.92403,0.58044,0.78368,0.46241,0.86924,0.00110589,0.00110589,0.00110589
104,133.778,0.80667,0.48716,0.83278,0.94066,0.85376,0.89657,0.58733,0.74238,0.45094,0.8639,0.00110039,0.00110039,0.00110039
105,134.902,0.83143,0.50314,0.81731,0.94069,0.8545,0.90537,0.58377,0.73686,0.46221,0.86345,0.00109489,0.00109489,0.00109489
106,136.06,0.8208,0.51119,0.83637,0.94165,0.85933,0.92343,0.58156,0.7714,0.48613,0.86776,0.00108938,0.00108938,0.00108938
107,137.158,0.81738,0.49053,0.82518,0.91037,0.82916,0.86892,0.57877,0.75957,0.48405,0.86648,0.00108388,0.00108388,0.00108388
108,138.283,0.79667,0.47881,0.83847,0.92781,0.84784,0.88318,0.59837,0.72493,0.44493,0.86477,0.00107838,0.00107838,0.00107838
